Buildfile: /home/ec2-user/mongo-write-availability/build.xml

run:
     [java] Duration:	1160 ms		Content: Europe eve 421120 56
     [java] Duration:	3 ms		Content: Europe alice 412093 35
     [java] Duration:	3 ms		Content: Europe carol 893488 40
     [java] Duration:	2 ms		Content: Europe eve 241293 58
     [java] Duration:	2 ms		Content: Europe alice 1048179 40
     [java] Duration:	2 ms		Content: Europe eve 618952 49
     [java] Duration:	2 ms		Content: Europe gary 639455 48
     [java] Duration:	55 ms		Content: Europe gary 867320 59
     [java] Duration:	3 ms		Content: Europe alice 920121 33
     [java] Duration:	3 ms		Content: Europe eve 766185 58
     [java] Duration:	3 ms		Content: Europe eve 353588 48
     [java] Duration:	2 ms		Content: Europe alice 646771 47
     [java] Duration:	3 ms		Content: Europe eve 765673 42
     [java] Duration:	3 ms		Content: Europe alice 324233 40
     [java] Duration:	3 ms		Content: Europe alice 624534 55
     [java] Duration:	3 ms		Content: Europe gary 945613 33
     [java] Duration:	2 ms		Content: Europe carol 851622 58
     [java] Duration:	3 ms		Content: Europe alice 460116 31
     [java] Duration:	3 ms		Content: Europe gary 775477 58
     [java] Duration:	3 ms		Content: Europe gary 532460 41
     [java] Duration:	2 ms		Content: Europe alice 595749 57
     [java] Duration:	3 ms		Content: Europe gary 76881 50
     [java] Duration:	3 ms		Content: Europe carol 143063 46
     [java] Duration:	3 ms		Content: Europe carol 269295 48
     [java] Duration:	3 ms		Content: Europe alice 672952 58
     [java] Duration:	4 ms		Content: Europe alice 785430 52
     [java] Duration:	3 ms		Content: Europe alice 324938 36
     [java] Duration:	3 ms		Content: Europe eve 354480 59
     [java] Duration:	3 ms		Content: Europe carol 269259 44
     [java] Duration:	3 ms		Content: Europe alice 436939 36
     [java] Duration:	3 ms		Content: Europe carol 959237 50
     [java] Duration:	3 ms		Content: Europe gary 5272 30
     [java] Duration:	7 ms		Content: Europe alice 532832 45
     [java] Duration:	3 ms		Content: Europe carol 344012 37
     [java] Duration:	3 ms		Content: Europe carol 564740 30
     [java] Duration:	2 ms		Content: Europe eve 76871 52
     [java] Duration:	3 ms		Content: Europe alice 328194 30
     [java] Duration:	3 ms		Content: Europe eve 109043 56
     [java] Duration:	3 ms		Content: Europe eve 97094 43
     [java] Duration:	3 ms		Content: Europe carol 228359 42
     [java] Duration:	4 ms		Content: Europe alice 609145 40
     [java] Duration:	6 ms		Content: Europe gary 825081 35
     [java] Duration:	7 ms		Content: Europe gary 547935 45
     [java] Duration:	2 ms		Content: Europe gary 913695 34
     [java] Duration:	2 ms		Content: Europe gary 1029083 37
     [java] Duration:	3 ms		Content: Europe alice 300653 48
     [java] Duration:	3 ms		Content: Europe eve 889467 33
     [java] Duration:	3 ms		Content: Europe gary 737274 44
     [java] Duration:	3 ms		Content: Europe eve 689378 30
     [java] Duration:	6 ms		Content: Europe eve 525151 36
     [java] Duration:	3 ms		Content: Europe carol 130220 49
     [java] Duration:	2 ms		Content: Europe eve 884423 31
     [java] Duration:	2 ms		Content: Europe gary 514141 59
